blx,bly,trx,try
2,66,61,158
19,29,44,68
53,29,99,67
116,11,167,157
149,131,174,180
176,119,193,183
194,143,224,178
180,11,210,63
210,21,233,56
224,6,245,62
299,34,334,159
340,141,397,153
357,62,395,129
389,18,429,196
483,84,535,122
607,72,652,148
652,99,690,143
727,26,775,221
772,73,833,153
825,154,850,186
859,31,891,96
891,50,913,82
908,32,930,81
974,112,1019,132
1050,49,1118,143
1117,129,1166,141
1099,56,1143,153
1134,72,1168,119
1163,42,1198,150
1191,20,1239,221
1265,39,1304,195
1304,138,1331,183
1329,127,1350,187
1350,153,1378,182
1333,18,1356,56
1363,22,1383,48
1379,12,1400,54
1455,52,1505,188
1476,85,1527,144
1457,155,1523,169
1491,50,1550,202
