blx,bly,trx,try
0,8,40,61
19,46,41,70
40,20,66,64
55,30,95,55
83,10,116,67
124,34,150,61
158,1,193,64
209,1,255,20
202,19,238,62
241,19,270,64
263,33,295,57
281,23,317,76
