blx,bly,trx,try
13,45,65,121
52,101,74,133
66,13,91,63
81,25,104,50
93,18,114,53
104,37,148,135
137,100,161,135
147,6,168,60
156,21,181,48
167,6,189,66
190,40,218,120
206,73,243,103
224,42,263,129
