blx,bly,trx,try
12,55,62,153
73,56,123,144
131,39,151,86
154,49,175,81
172,41,190,86
121,123,144,152
200,84,234,118
271,2,324,36
246,174,268,189
264,169,310,204
273,36,314,169
317,70,353,130
349,101,395,137
412,37,456,184
458,62,485,96
490,53,533,86
453,85,534,104
452,114,496,162
492,104,524,174
524,27,562,170
576,8,609,39
619,33,650,73
590,9,636,61
635,126,672,168
677,75,696,89
714,32,743,71
750,33,789,66
750,32,788,66
750,32,786,66
791,32,828,64
829,20,864,42
707,71,848,84
740,87,770,124
782,83,813,123
839,89,890,186
