blx,bly,trx,try
3,7,45,87
47,57,75,90
79,20,107,81
96,38,128,71
123,16,146,78
154,46,186,75
232,16,269,95
259,66,285,91
280,6,301,49
293,18,314,39
309,7,322,41
302,29,339,98
314,45,375,77
357,25,388,94
435,55,468,92
489,34,533,99
576,18,610,105
599,74,623,110
618,18,639,56
637,23,656,50
648,18,666,52
650,44,675,97
667,61,697,88
678,44,705,97
724,53,760,91
816,24,853,103
866,19,907,55
930,16,972,102
960,79,986,109
977,12,992,61
988,18,1010,45
1006,12,1025,51
1022,42,1050,97
1045,56,1084,86
1078,39,1105,93
