blx,bly,trx,try
22,91,80,168
64,159,88,194
93,52,125,116
113,70,136,101
126,54,152,106
180,34,233,212
195,1,241,32
139,227,164,243
166,224,207,259
220,112,259,172
259,131,318,168
378,69,414,181
409,149,432,192
433,66,461,116
458,77,477,105
470,64,492,113
504,70,540,110
471,116,506,196
496,137,534,174
522,117,548,182
574,89,631,170
645,79,689,190
682,143,706,184
716,58,738,118
734,72,757,102
747,61,768,109
760,105,796,172
785,117,821,155
800,93,832,172
