blx,bly,trx,try
0,92,47,190
97,93,162,173
147,163,168,205
168,154,191,199
196,66,218,120
223,75,243,111
243,71,257,118
288,120,332,165
403,139,454,171
540,39,586,125
585,47,641,105
612,92,638,127
644,41,664,81
662,46,683,72
677,37,698,81
687,29,722,128
722,30,805,61
498,129,739,155
537,172,588,229
593,189,629,222
642,188,668,221
675,155,705,187
800,21,885,261
823,168,861,217
896,68,945,115
954,81,981,124
865,123,1068,148
868,175,893,209
919,153,946,187
911,186,946,199
919,200,943,234
1106,121,1148,150
1191,94,1232,164
1229,11,1282,288
