blx,bly,trx,try
7,8,53,54
1,56,60,72
12,76,58,132
75,37,110,97
111,43,158,93
175,49,224,90
252,13,274,52
273,14,298,54
242,57,299,67
255,77,291,108
343,1,378,61
383,8,411,56
410,1,433,28
337,92,367,128
367,74,385,97
382,90,419,124
422,65,445,94
331,61,410,75
