blx,bly,trx,try
11,40,60,98
32,85,62,124
71,40,107,112
96,56,132,99
124,45,157,108
184,24,239,136
234,97,257,130
237,7,263,54
251,18,278,48
272,5,294,52
305,38,355,108
336,67,382,96
366,30,414,107
