blx,bly,trx,try
37,21,79,247
62,227,80,238
87,5,110,40
112,9,153,37
89,97,164,143
86,225,122,250
240,62,258,146
274,70,310,145
307,63,326,151
331,53,370,90
407,74,461,150
460,108,524,149
