blx,bly,trx,try
13,43,36,118
22,26,43,48
81,58,109,87
196,8,216,28
226,8,252,30
181,27,217,71
160,79,252,97
171,104,201,142
202,121,230,140
313,64,341,102
398,54,434,102
437,53,471,116
454,58,500,109
498,43,531,137
