blx,bly,trx,try
12,9,50,102
56,30,79,94
79,46,129,80
121,78,140,103
153,37,182,86
169,25,197,102
258,34,296,65
337,49,389,104
397,26,425,44
434,8,451,53
459,6,489,50
492,10,517,48
518,10,545,48
554,15,580,55
