blx,bly,trx,try
14,13,69,101
49,35,80,98
68,46,114,86
96,33,136,103
162,54,202,82
255,18,286,47
288,18,326,42
319,0,344,27
254,50,346,66
273,69,320,111
354,56,401,82
402,32,434,60
481,45,510,82
531,11,564,74
578,40,625,81
628,1,658,42
