blx,bly,trx,try
12,7,59,125
70,16,111,129
104,49,142,104
93,104,132,115
146,88,165,115
175,36,208,107
170,16,217,128
270,65,310,98
373,85,434,144
447,37,478,56
491,10,509,62
511,13,548,61
548,6,591,59
577,3,620,56
614,4,643,56
664,26,712,140
721,52,752,128
738,75,787,107
772,33,803,111
