blx,bly,trx,try
-3,27,31,78
25,68,48,92
43,19,60,54
58,24,73,51
71,19,89,48
93,29,128,80
146,22,175,98
177,77,198,103
181,16,199,59
200,24,214,50
213,21,227,50
233,38,254,93
248,53,282,76
275,38,298,85
327,45,356,74
374,23,406,84
424,38,457,82
448,73,465,101
466,22,482,59
486,28,503,56
500,20,516,59
523,26,556,98
558,85,576,103
564,19,581,61
583,29,606,58
600,20,620,59
629,40,659,114
652,68,684,90
665,38,696,106
706,55,731,77
746,57,764,71
783,10,812,61
812,4,832,33
775,61,833,75
774,85,800,121
802,95,826,120
884,10,913,50
908,-2,930,26
860,57,937,69
997,28,1028,78
1038,20,1062,85
1059,70,1076,93
861,74,889,123
886,94,916,116
910,78,949,99
968,15,995,109
1071,15,1088,50
1090,20,1110,46
1106,14,1122,46
1116,37,1134,85
1131,49,1162,74
1156,34,1172,84
1162,8,1196,109
1213,37,1234,70
1243,23,1281,78
1260,62,1276,88
1276,24,1304,92
1300,52,1331,74
1318,21,1345,94
1355,31,1386,84
1397,31,1425,97
1420,72,1439,92
1426,19,1443,54
1426,19,1443,53
1448,26,1464,52
1461,20,1474,55
1463,46,1492,109
1480,64,1505,91
1497,44,1520,103
1549,56,1576,93
1600,28,1632,92
1650,20,1690,43
1646,44,1679,86
1682,44,1704,93
1691,62,1721,82
1710,48,1730,91
1740,38,1764,96
1764,83,1780,104
1778,25,1801,64
1802,39,1816,55
1811,29,1828,57
1834,45,1860,92
1850,60,1888,83
1873,44,1900,106
