blx,bly,trx,try
9,33,68,203
80,41,132,113
105,7,134,37
139,21,176,59
42,121,159,141
62,148,104,196
105,161,142,197
207,93,253,143
305,50,369,147
363,52,408,150
393,127,437,142
406,71,442,122
422,50,461,166
467,22,507,203
548,32,598,198
589,157,616,199
613,151,633,204
636,166,670,202
618,4,651,78
641,18,666,59
658,1,681,65
687,50,725,164
704,137,757,156
720,76,756,137
745,31,776,177
818,109,898,152
980,55,1069,149
1043,143,1066,174
1076,22,1105,83
1096,35,1116,70
1105,16,1132,80
1156,52,1208,182
1190,159,1214,196
1218,147,1232,194
1235,158,1274,195
1242,28,1266,81
1267,36,1292,70
1286,27,1301,66
1311,63,1367,226
1327,176,1415,191
1343,98,1409,170
1342,62,1434,250
