blx,bly,trx,try
16,85,40,169
44,90,76,169
119,73,150,119
153,69,186,119
114,117,196,132
125,143,151,185
161,132,193,178
244,121,283,149
276,11,369,273
385,47,423,83
350,46,379,71
333,70,381,129
309,141,397,155
313,171,344,220
345,186,380,216
438,114,477,174
514,110,571,171
574,97,616,188
601,183,643,198
613,113,663,181
650,95,687,220
765,142,802,160
859,86,926,146
846,147,947,163
869,165,922,238
1107,52,1135,91
1077,52,1108,80
1057,78,1108,137
1005,156,1172,172
1019,207,1054,254
1056,188,1081,227
1095,206,1126,248
1130,183,1158,216
1129,17,1204,298
1229,91,1283,216
1283,102,1332,219
1306,175,1357,193
1324,127,1371,174
1355,172,1391,208
1412,113,1473,197
1418,81,1481,243
