blx,bly,trx,try
1,10,70,78
72,45,108,73
163,26,192,55
157,62,187,71
189,1,494,140
239,70,268,104
268,45,292,72
286,66,311,100
312,35,340,71
337,61,360,92
364,54,398,109
397,35,418,60
415,57,445,96
442,35,466,63
