blx,bly,trx,try
2,12,68,88
87,5,131,90
136,20,169,95
155,44,204,78
188,19,221,87
298,46,334,76
420,65,446,79
513,18,547,94
553,6,584,41
477,99,604,114
496,120,537,186
536,146,576,186
666,24,699,92
700,9,733,46
741,7,779,103
649,102,800,114
757,119,801,152
707,155,757,187
665,141,698,189
877,83,911,115
941,45,985,111
986,53,1020,123
1008,71,1049,102
1046,48,1079,114
1088,18,1138,127
1143,36,1175,113
1158,60,1200,100
1178,38,1214,131
