blx,bly,trx,try
1,17,31,63
22,49,42,76
39,3,56,42
50,14,70,32
66,6,82,31
90,34,117,63
138,15,163,66
181,31,215,68
210,50,230,74
223,6,242,41
242,11,262,34
258,5,274,27
