blx,bly,trx,try
1,6,44,201
38,89,65,106
86,31,113,94
114,26,137,61
73,98,131,115
69,128,94,172
96,148,123,175
192,41,218,103
219,32,251,68
150,108,258,123
219,129,248,155
189,151,224,181
167,146,189,184
286,93,316,130
372,81,406,133
398,112,423,144
439,69,469,139
459,87,501,123
490,70,515,127
492,11,526,197
