blx,bly,trx,try
12,96,69,184
69,133,111,174
119,113,162,189
192,142,249,166
325,6,397,54
334,60,384,235
310,262,348,280
349,246,411,286
393,95,446,182
449,144,494,181
552,144,621,238
615,110,669,170
723,136,778,193
840,131,926,277
